Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kauno r. sav., Gervėnupio k., Kurapkų g., mūrinis sodo namas",43 900 €,4,99 m²,8 a,,2,1983,Mūrinis,Sodo namas,"Centrinis, kietu kuru",Vietinis vandentiekis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraSu pakrante,GaražasPirtisRūsysTerasa,Su baldaisViryklėŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,5,,
"Kaunas, karkasinis kita",75 000 €,,80 m²,6 a,,1,2024,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Miriniškių k., Ožiarūčių g., mūrinis sublokuotas namas",221 000 €,,113 m²,"4,5 a",4,1,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,,Garažas,KondicionieriusŠildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Dievogalos k., Lakštingalų g., Namas (gyvenamasis)",777 000 €,7C,270 m²,70 a,10,1,2014,Kita,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,SignalizacijaŠarvuotos durysVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,400,,
"Kauno r. sav., Miriniškių k., Ožiarūčių g., mūrinis sublokuotas namas",261 000 €,,137 m²,6 a,4,1,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Kraštinis sklypas,Garažas,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Vaišvydava, Alksnių g., mūrinis namas",149 500 €,25,106 m²,"4,3 a",4,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Užliedžių k., Draugystės g., mūrinis namas",149 999 €,,93 m²,"5,5 a",,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,,Plastikiniai vamzdžiai,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,A++,
"Kauno r. sav., Giraitės k., Ugniažolių g., mūrinis sublokuotas namas",128 000 €,13,70 m²,3 a,4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Elektra,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Giraitės k., Ugniažolių g., mūrinis namas",178 000 €,1,100 m²,"5,5 a",,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasElektraInternetas,RūbinėTerasa,KondicionieriusRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Giraitės k., Ugniažolių g., mūrinis sublokuotas namas",158 000 €,11,100 m²,"2,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Elektra,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Aukštutiniai Kaniūkai, Žalčio Karūnos al., mūrinio namo dalis",106 000 €,18,"68,17 m²","1,43 a",2,3,2009,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujos,,ŠaldytuvasŠildomos grindysŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Ežeras,500,C,1999-2031-1014
"Kauno r. sav., Paparčių k., Šernų g., karkasinis namas",120 000 €,,71 m²,6 a,4,3,2020,Karkasinis,Namas (gyvenamasis),"Elektra, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
"Kauno r. sav., Domeikavos k., Beržų g., rąstinis namas",110 000 €,2,100 m²,"16,2 a",6,2,1970,Rąstinis,Namas (gyvenamasis),Dujinis,,Įrengtas,ElektraDujosAsfaltuotas privažiavimasKraštinis sklypas,Ūkiniai pastatai,,Šarvuotos durysAptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,C,
"Kauno r. sav., Naugardiškės k., Narsiečių g., mūrinis namas",360 000 €,2A,179 m²,10 a,,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Laumėnų k., Gvazdikų g., mūrinis sodo namas",27 000 €,,55 m²,"7,7 a",,2,1979,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Panemunė, Baltažiedžių tak., medinis sodo namas",23 000 €,5,"12,29 m²","5,85 a",1,1,1995,Medinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,ElektraSu pakrante,RūsysŪkiniai pastatai,ViryklėŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,5273-0002-0065
"Kaunas, Aleksotas, K. Sprangausko g., mūrinis sublokuotas namas",180 000 €,,105 m²,3 a,,2,2024,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis",Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Gervėnupio k., Alyvų g., mūrinis namas",55 000 €,9,80 m²,"6,25 a",3,2,1990,Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Rūsys,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Drebulių g., mūrinis namas",160 000 €,9A,"107,27 m²",3 a,3,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,GaražasTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,700,A+,
"Kauno r. sav., Netonių k., Saulės g., mūrinis sodo namas",50 000 €,38,"93,14 m²","0,07 a",4,2,1995,Mūrinis,Sodo namas,Kita,,Įrengtas,ElektraGreta miško,TerasaGaražasRūsys,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Sukilėlių pr., mūrinis namas",320 000 €,60,462 m²,"5,4 a",12,3,1980,Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Kita,Elektra,GaražasRūsys,,Aptverta teritorijaSignalizacija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,980,,1998-0003-0017
"Kauno r. sav., Užupių k., Bičiulių g., mūrinis namas",152 000 €,,70 m²,16 a,4,2,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Įrengtas,Greta miškoElektra,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,500,,
"Kauno r. sav., Arlaviškių k., Serbentų g., medinis sodo namas",19 500 €,,63 m²,6 a,2,2,1982,Medinis,Sodo namas,"Elektra, kita","Artezinis, kita",Įrengtas,Elektra,Rūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,450,,
"Kauno r. sav., Jonučių II k., Lūšių g., mūrinis namas",162 000 €,,"133,23 m²","5,5 a",5,1,2023,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Miesto vandentiekis,Dalinė apdaila,ElektraDujos,GaražasTerasa,Plastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Paparčių k., Rūtų g., mūrinis sodo namas",83 000 €,5,66 m²,"5,78 a",,2,1996,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Rūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,70,,5298-5059-3010
"Kaunas, Romainiai, P. Tarasenkos g., mūrinis sublokuotas namas",215 000 €,5,103 m²,"0,9 a",3,2,2020,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Karmėlavos mstl., blokinis namas",39 999 €,,80 m²,"2,35 a",,2,1950,Blokinis,Namas (gyvenamasis),Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,G,
"Kauno r. sav., Romainių Kaimelės k., Saulėtekių g., mūrinis namas",210 000 €,15,"101,23 m²",5 a,3,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujos,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Garliavos m., R. Šliūpo g., mūrinis namas",125 000 €,,148 m²,"6,14 a",,1,1974,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Rugio g., mūrinis sublokuotas namas",188 000 €,4,78 m²,"4,5 a",4,1,2020,Mūrinis,Sublokuotas namas,"Elektra, dujinis",,Įrengtas,Kraštinis sklypasGreta miškoElektraDujosInternetas,Terasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Narsiečių k., Jono Karučio g., mūrinis sublokuotas namas",155 250 €,,115 m²,5 a,4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Elektra,RūbinėTerasa,,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Piliuonos k., Bokšto g., medinis sodo namas",17 500 €,,30 m²,12 a,,1,1970,Medinis,Sodo namas,Kita,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Klevų g., mūrinis namas",187 200 €,20A,"96,12 m²",2 a,,2,2023,Mūrinis,Namas (gyvenamasis),Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vilemų k., Eglynų g., medinis sodo namas",31 000 €,6,35 m²,14 a,,1,2002,Medinis,Sodo namas,Elektra,"Artezinis, šulinys",Įrengtas,Greta miško,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,400,,
"Kauno r. sav., Gaižuvėlės k., Nemuno g., mūrinis sodo namas",30 000 €,39,"36,17 m²","9,4 a",3,2,1988,Mūrinis,Sodo namas,"Elektra, kietu kuru",Vietinis vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektra,Rūsys,Su baldaisŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,,,
"Kauno r. sav., Vijūkų k., Žiedo g., mūrinis sublokuotas namas",150 000 €,,87 m²,1 a,4,2,2022,Mūrinis,Sublokuotas namas,"Dujinis, kita",,Įrengtas,,,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Domeikavos k., Bažnyčios g., mūrinis namas",289 000 €,10,182 m²,10 a,4,2,2013,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,C,
"Kaunas, Rokai, mūrinis namas",289 000 €,,161 m²,11 a,5,2,2023,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Romainiai, Lubinų g., blokinis sublokuotas namas",237 000 €,,100 m²,"1,67 a",4,2,2018,Blokinis,Sublokuotas namas,"Dujinis, saulės energija",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Gervėnupio k., Sodininkų al., medinis sodo namas",13 800 €,,26 m²,"6,14 a",,1,1992,Medinis,Sodo namas,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Poderiškių k., Žaros g., mūrinis sublokuotas namas",96 000 €,7,109 m²,5 a,,1,2023,Mūrinis,Sublokuotas namas,Elektra,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Dainava, Partizanų g., Sublokuotas namas",242 000 €,,100 m²,"2,3 a",3,2,2018,Kita,Sublokuotas namas,Dujinis,,Įrengtas,Kabelinė televizijaInternetasElektraDujosKraštinis sklypas,TerasaRūbinė,Šildomos grindysSu baldaisPlastikiniai vamzdžiaiKondicionieriusSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovė,SignalizacijaAptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Agluonos g., mūrinis sublokuotas namas",275 000 €,,"164,15 m²",5 a,4,2,"2007 statyba, 2022 renovacija",Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,2 000,B,4400-1329-8501:6313
"Kaunas, Žaliakalnis, Žemaičių g., medinis namas",299 000 €,14A,"197,04 m²","10,44 a",9,2,1934,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,InternetasElektraDujosAsfaltuotas privažiavimasKraštinis sklypasGreta miško,Ūkiniai pastataiRūsys,Viryklė,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,G,
"Kauno r. sav., Smiltynų II k., Ąžuolų g., Sodyba",21 000 €,,540 m²,"5,4 a",3,,2011,Kita,Sodyba,Dujinis,Vietinis vandentiekis,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Dusetų g., mūrinis namas",385 000 €,3A,450 m²,"9,17 a",,3,1980,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žaliakalnis, Saulės g., mūrinis kita",56 000 €,,"47,68 m²","1,31 a",,1,1982,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Centrinis,,Neįrengtas,Asfaltuotas privažiavimasElektra,,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, J. Damijonaičio g., mūrinis sublokuotas namas",230 000 €,,145 m²,3 a,4,2,"1995 statyba, 2019 renovacija",Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Drąseikių k., rąstinis sodo namas",115 000 €,,120 m²,"10,5 a",,2,2007,Rąstinis,Sodo namas,Kietu kuru,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, karkasinis kita",20 000 €,,23 m²,"0,1 a",,1,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Užliedžių k., Pienių g., mūrinis sublokuotas namas",150 000 €,,"81,75 m²","3,324 a",,2,2015,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aukštutiniai Kaniūkai, Girios g., mūrinis sublokuotas namas",185 000 €,1A,"82,2 m²","2,62 a",3,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,Terasa,Plastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Šilainiai, Mosėdžio g., mūrinis sublokuotas namas",295 000 €,36,97 m²,"2,78 a",4,2,2018,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,PirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,B,
"Kaunas, Vilijampolė, Kastyčio g., mūrinio namo dalis",199 000 €,,155 m²,"3,2 a",6,2,"1957 statyba, 2015 renovacija",Mūrinis,Namo dalis,"Elektra, dujinis, kita",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,,
