Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Meškuičių mstl., Dapkūnų g., mūrinis namas",135 000 €,,350 m²,31 a,2,1995,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,"Šulinys, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Su baldaisŽidinys,Šarvuotos durys,,
"Šiauliai, Pabaliai, Lizdeikos g., mūrinis namas",195 000 €,,110 m²,"7,5 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,2 000,Greta miškoAsfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,,,A++,
"Šiaulių r. sav., Gervėnų k., Vyturių g., medinis sodo namas",28 000 €,13,72 m²,6 a,2,1988,Medinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Vietinis vandentiekis,Tvenkinys,100,Greta miškoAsfaltuotas privažiavimasElektraSu pakrante,Rūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaVaizdo kameros,,
"Šiaulių r. sav., Kuršėnų m., J. Janonio g., mūrinis namas",70 000 €,,127 m²,"6,3 a",2,1986,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Kairių mstl., Plento g., mūrinis namas",65 000 €,41,"108,94 m²",25 a,2,1972,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,Ežeras,500,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastataiTerasa,Su baldaisŠaldytuvasViryklė,Aptverta teritorija,,
"Šiauliai, Žaliūkiai, Aitvarų g., mūrinis namas",198 000 €,13,"120,49 m²","4,5 a",2,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, karkasinis kita",15 000 €,,30 m²,0 a,1,2023,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,,,,,A++,
"Šiauliai, Lieporiai, Luknės g., blokinis sublokuotas namas",298 000 €,17A,"97,64 m²","3,1 a",2,2021,Blokinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,ElektraDujosInternetasKabelinė televizija,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Signalizacija,A+,
"Šiauliai, Centras, Vytauto g., mūrinis namas",112 000 €,,"80,0839 m²","10,88 a",1,1939,Mūrinis,Namas (gyvenamasis),Dujinis,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Medelynas, V. Bielskio g., mūrinis sublokuotas namas",239 000 €,,128 m²,4 a,2,2008,Mūrinis,Sublokuotas namas,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Artezinis,,,ElektraDujos,GaražasRūbinė,,Signalizacija,,
"Šiauliai, Verduliai, Statybininkų g., mūrinis sublokuotas namas",170 000 €,48,120 m²,11 a,1,2023,Mūrinis,Sublokuotas namas,"Centrinis kolektorinis, aeroterminis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Ežeras,3 000,Kraštinis sklypasGreta miškoElektraDujosInternetas,GaražasRūbinėTerasa,Šildomos grindys,SignalizacijaŠarvuotos durys,A++,
"Šiauliai, Verduliai, Statybininkų g., mūrinis sublokuotas namas",145 000 €,,99 m²,11 a,1,2023,Mūrinis,Sublokuotas namas,"Centrinis kolektorinis, aeroterminis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Ežeras,3 000,Greta miškoElektraDujosInternetas,RūbinėTerasa,,SignalizacijaŠarvuotos durys,A++,
"Šiaulių r. sav., Verdulių k., karkasinis kita",106 000 €,,130 m²,0 a,1,2021,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
