Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiauliai, Centras, Draugystės pr., mūrinis namas",85 900 €,,"88,44 m²","7,39 a",1,1939,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Širvučių k., medinė sodyba",99 900 €,,179 m²,"80,01 a",2,2009,Medinis,Sodyba,Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Pašvinių k., Liepų g., mūrinis sodo namas",46 900 €,21,"61,5 m²","7,6 a",1,1989,Mūrinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,,,Elektra,GaražasPirtisRūsys,Su baldaisŽidinys,,,
"Šiaulių r. sav., Gervėnų k., Klevo g., mūrinis namas",53 000 €,,182 m²,6 a,2,1993,Mūrinis,Namas (gyvenamasis),"Kietu kuru, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Vietinis vandentiekis, kita",,100,Greta miškoAsfaltuotas privažiavimasElektra,GaražasPirtisRūsysTerasa,Skalbimo mašinaŠaldytuvasŽidinys,,,
"Šiauliai, Medelynas, Ukmergės g., mūrinis namas",169 000 €,93,"181,44 m²","6,41 a",2,2003,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsys,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Šiauliai, Bačiūnai, Purienos Sodų 1-oji g., mūrinis sodo namas",35 000 €,40,65 m²,"8,13 a",1,"1985 statyba, 2007 renovacija",Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,ElektraDujos,RūsysŪkiniai pastatai,ŽidinysPlastikiniai vamzdžiai,,,
"Šiauliai, Šimšė, Prienų g., mūrinis namas",123 500 €,,155 m²,8 a,1,"1959 statyba, 2010 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysTerasa,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Rėkyva, Lingailių g., mūrinis namas",178 000 €,,"189,79 m²","0,1244 a",1,2010,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Daugėlių k., Kreivoji g., medinis sodo namas",18 900 €,,16 m²,"10,93 a",1,2022,Medinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Pailių k., Šventupio g., karkasinis namas",175 000 €,15D,"63,23 m²",40 a,1,2021,Karkasinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, J. Šliūpo g., mūrinis namas",144 500 €,,"272,46 m²","5,99 a",2,1987,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,,,,,,,,,
"Šiauliai, Lieporiai, Jotvingių g., mūrinis namas",132 500 €,,"114,91 m²","4,8 a",2,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Zokniai, Radviliškio g., mūrinis namas",99 000 €,,124 m²,30 a,1,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,A+,
"Šiaulių r. sav., Aukštelkės k., Pilies g., mūrinis namas",119 000 €,,"169,6 m²",10 a,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Kuršėnų m., Miško Gėlių g., mūrinis namas",117 000 €,16,103 m²,"5,74 a",1,2011,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Šulinys, vietinis vandentiekis",Tvenkinys,300,Elektra,GaražasŪkiniai pastataiTerasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Kairių mstl., Uosių g., mūrinis namas",245 000 €,6,"295,46 m²",12 a,2,2014,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Vietinis vandentiekis,Ežeras,100,Greta miškoElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,KondicionieriusŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Bubių k., Meškių g., medinis namas",43 000 €,85,"219,38 m²",26 a,1,1968,Medinis,Namas (gyvenamasis),Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Meškuičių mstl., Rupeikių g., mūrinis sublokuotas namas",93 000 €,,"92,12 m²",6 a,2,2010,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Centras, Tilžės g., medinio namo dalis",65 900 €,,55 m²,"5,52 a",2,1966,Medinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,,,,,,
"Šiauliai, Šimšė, Vilkaviškio g., mūrinis namas",83 500 €,,147 m²,"8,16 a",1,1972,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Vijolių k., Daržininkų g., mūrinis namas",84 000 €,,"171,15 m²","12,09 a",2,1973,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Lingailių k., Alyvų g., Kita (nukeliamas, projektas, kt.)",9 900 €,,18 m²,"10,47 a",1,2010,Kita,"Kita (nukeliamas, projektas, kt.)",Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,,Tvenkinys,100,Kraštinis sklypasGreta miškoElektra,,,,,
"Šiaulių r. sav., Sauginių k., mūrinis namas",115 900 €,,"171,17 m²",120 a,1,2017,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektra,Ūkiniai pastataiTerasa,Su baldaisPlastikiniai vamzdžiai,Aptverta teritorija,F,
"Šiaulių r. sav., Kuršėnų m., Vydūno g., mūrinis namas",150 000 €,78,"177,05 m²",12 a,2,1975,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Upė,900,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasŪkiniai pastatai,Su baldaisŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaŠarvuotos durys,E,
"Šiauliai, Medelynas, Skroblų g., mūrinis namas",145 000 €,96,"426,54 m²",6 a,2,2004,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiauliai, Medelynas, Karklų g., mūrinis namas",227 000 €,43,"189,27 m²",9 a,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Kuršėnų m., Užmiesčio g., mūrinis namas",144 900 €,,"186,63 m²","12,05 a",2,1975,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Kuršėnų m., Darbo g., mūrinis namas",129 000 €,17,150 m²,"16,46 a",2,1984,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastataiTerasa,,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Centras, Gumbinės g., mūrinis namas",119 900 €,12,"133,63 m²","10,36 a",2,1959,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasDujos,GaražasRūsysTerasa,,Šarvuotos durys,,
"Šiauliai, Lieporiai, Mokytojų g., mūrinis namas",192 000 €,,"120,87 m²",5 a,2,2022,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Rėkyva, Žilvičio Sodų 4-oji g., mūrinis kita",27 500 €,15,50 m²,6 a,1,2000,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Kita,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Vietinis vandentiekis,Tvenkinys,50,ElektraDujos,,,,,
"Šiauliai, Šimšė, Agrastų g., mūrinis namas",179 000 €,24,"308,25 m²","9,65 a",2,1961,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūbinėŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Didlaukės k., rąstinis namas",135 000 €,8,116 m²,"33,74 a",1,1982,Rąstinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Šulinys, vietinis vandentiekis",Ežeras,,Kraštinis sklypasGreta miškoElektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,KondicionieriusSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorija,,
"Šiaulių r. sav., Gervėnų k., Kaimo g., mūrinis namas",255 000 €,,"150,69 m²",25 a,2,"1966 statyba, 2015 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Tvenkinys,100,Kraštinis sklypasGreta miškoElektraSu pakrante,RūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiaulių r. sav., Ginkūnų k., Žaros g., mūrinis namas",120 000 €,,"317,53 m²","13,04 a",2,1982,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Ežeras,1 500,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsys,,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Centras, Birutės g., mūrinis namas",167 000 €,,"239,94 m²","5,94 a",2,1950,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,,GaražasRūsysŪkiniai pastataiTerasa,,,,
"Šiauliai, Centras, Birutės g., mūrinio namo dalis",68 500 €,,"80,11 m²","2,5 a",1,1950,Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,,GaražasŪkiniai pastataiTerasa,,Aptverta teritorija,,
"Šiauliai, Centras, J. Biliūno g., mūrinis namas",240 000 €,,"262,59 m²","5,95 a",1,1987,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Aukštelkės k., Pilies g., mūrinis namas",114 000 €,,141 m²,"10,28 a",1,2022,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Medelynas, Biržų g., mūrinis namas",100 000 €,39,"264,4 m²","6,37 a",1,1986,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsys,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiauliai, Medelynas, Biržų g., mūrinis namas",100 000 €,23,"247,19 m²","7,41 a",2,1988,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,"Miesto vandentiekis, vietinis vandentiekis",,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsys,,Aptverta teritorija,,2998-3001-1015
"Šiauliai, Rėkyva, Bačiūnų g., mūrinio namo dalis",59 000 €,58E,"50,48 m²",9 a,1,1934,Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,Ežeras,100,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Lieporių k., Bartos g., mūrinis namas",470 000 €,,"283,62 m²","34,87 a",2,2009,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Artezinis,Tvenkinys,50,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,GaražasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Šiaulių r. sav., Kairių mstl., Topolių g., mūrinis namas",129 000 €,,"158,92 m²","21,1 a",2,1980,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Bubių k., Pušų g., mūrinis namas",139 000 €,,"76,6 m²",12 a,2,2018,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Romučių k., Ventos g., medinis namas",19 500 €,,"71,28 m²","16,29 a",1,1966,Medinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Toliočių k., Sodelio g., mūrinis namas",114 900 €,,"105,03 m²",10 a,1,2021,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Centras, Medelyno g., mūrinis namas",332 000 €,,"326,83 m²","10,68 a",2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,,,,,,,,,
"Šiaulių r. sav., Pašvinių k., Aušros g., medinis sodo namas",36 700 €,,70 m²,"6,06 a",1,2014,Medinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Verduliukų k., Vaivos g., mūrinis namas",174 000 €,,124 m²,"8,4 a",1,2023,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Medelynas, Karklų g., mūrinis namas",199 000 €,,"206,51 m²",6 a,1,2008,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Rėkyva, Gintaro Sodų 1-oji g., mūrinis sodo namas",19 700 €,,23 m²,"8,4 a",1,1984,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,Šulinys,Tvenkinys,200,Elektra,Ūkiniai pastatai,,Aptverta teritorija,,
"Šiauliai, Bačiūnai, Lelijos Sodų 9-oji g., karkasinis namas",129 000 €,,"77,77 m²","8,33 a",1,2016,Karkasinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Pabaliai, Alksnių g., mūrinis namas",68 000 €,16,"109,04 m²","7,36 a",2,1969,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,ElektraDujos,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiauliai, Žaliūkiai, Voveriškių g., mūrinis namas",68 700 €,64,"69,35 m²","7,99 a",1,1961,Mūrinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Pažižmėlių k., Žiužmos g., rąstinis namas",12 900 €,18,"58,28 m²",26 a,1,1956,Rąstinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Kraštinis sklypasElektra,Ūkiniai pastatai,,,,
"Šiauliai, Šimšė, Šakių g., mūrinis sublokuotas namas",154 000 €,,"138,21 m²",4 a,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Bačiūnai, Kuosų g., mūrinis namas",265 000 €,,"141,77 m²","6,6 a",2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Centras, Vilniaus g., mūrinis namas",150 000 €,,"60,96 m²","5,9 a",1,"1955 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasŪkiniai pastataiTerasa,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Medelynas, Ukmergės g., mūrinis namas",199 000 €,,"227,89 m²","7,2 a",2,2008,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,Garažas,,,,
"Šiauliai, Bačiūnai, Dagilių g., mūrinis namas",180 000 €,5,"155,92 m²","6,2 a",1,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Asfaltuotas privažiavimas,GaražasTerasa,ŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Signalizacija,A+,
"Šiaulių r. sav., Kuršėnų m., mūrinis sublokuotas namas",127 000 €,,"245,72 m²","9,29 a",2,1983,Mūrinis,Sublokuotas namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Centras, S. Daukanto g., Namas (gyvenamasis)",145 000 €,,"138,95 m²","12,62 a",1,"1926 statyba, 1987 renovacija",Kita,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasDujos,GaražasŪkiniai pastatai,,Aptverta teritorija,,
"Šiauliai, Šimšė, Vilkaviškio g., mūrinis namas",83 900 €,,"124,58 m²",3 a,2,1957,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",Ežeras,1 000,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Rūsys,,,,
"Šiaulių r. sav., Gervėnų k., Vyturių g., mūrinis sodo namas",35 900 €,,"69,7 m²","6,7 a",2,1991,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,Asfaltuotas privažiavimasElektra,Rūsys,,,,
"Šiaulių r. sav., Raizgių k., Žiedo g., mūrinis sodo namas",31 900 €,,"54,84 m²","7,34 a",2,1998,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Elektra,Rūsys,,,,
"Šiauliai, Centras, Vilniaus g., mūrinis namas",237 000 €,,"109,4 m²",6 a,2,"1956 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūsysŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Ginkūnų k., Daržyno g., mūrinis sublokuotas namas",151 000 €,,80 m²,"4,875 a",1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,Tvenkinys,500,Asfaltuotas privažiavimasElektra,Terasa,Plastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaŠarvuotos durys,A++,
