Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytus, Likiškėliai, Punsko g., mūrinis namas",97 000 €,72,160 m²,10 a,2,2022,Mūrinis,Namas (gyvenamasis),Elektra,Artezinis,Įrengtas,,Kraštinis sklypas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,A+
"Alytus, Pirmas Alytus, Merkinės g., rąstinis namas",99 000 €,,"89,89 m²","6,61 a",2,"1925 statyba, 2018 renovacija",Rąstinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,1 000,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Su baldaisŠaldytuvasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Upė,
"Alytaus r. sav., Mergalaukio k., Jaunystės g., rąstinis namas",43 000 €,,69 m²,15 a,2,"1966 statyba, 2015 renovacija",Rąstinis,Namas (gyvenamasis),"Aeroterminis, kietu kuru",Vietinis vandentiekis,Įrengtas,2 000,Asfaltuotas privažiavimasElektra,GaražasPirtisŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,Aptverta teritorija,Ežeras,
"Alytaus r. sav., Užupių k., Pušų g., mūrinis namas",120 000 €,,"79,5 m²",8 a,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytaus r. sav., Dvarčėnų k., rąstinė sodyba",498 000 €,,559 m²,679 a,2,2008,Rąstinis,Sodyba,Kietu kuru,Artezinis,Įrengtas,1,Kraštinis sklypasElektraSu pakrante,PirtisŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,20,Su baldaisŠaldytuvasVirtuvės komplektasŽidinys,Aptverta teritorijaSignalizacijaVaizdo kameros,Ežeras,
"Alytus, Senamiestis, Margio g., mūrinis namas",260 000 €,3,215 m²,"27,5 a",2,1984,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Kita,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Lelionių k., mūrinė sodyba",95 000 €,,144 m²,440 a,2,2020,Mūrinis,Sodyba,Kita,"Artezinis, vietinis vandentiekis",Neįrengtas,,,Rūsys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus k., Alytaus g., mūrinis namas",89 500 €,20,120 m²,12 a,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Vietinis vandentiekis,Neįrengtas,,Elektra,GaražasRūbinė,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytaus k., Takniškių g., mūrinis namas",320 000 €,,217 m²,95 a,2,2009,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,2 000,Kraštinis sklypasAsfaltuotas privažiavimasElektra,BaseinasGaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,SignalizacijaŠarvuotos durysVaizdo kameros,Upė,
"Alytaus r. sav., Tabalenkos k., mūrinė sodyba",178 000 €,,150 m²,190 a,2,2007,Mūrinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,,Kraštinis sklypasGreta miškoElektra,BaseinasRūbinė,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,KondicionieriusSkalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
